customer_id,timestamp,event,product_id,status
C0001,2026-08-10 15:06:00,product_discovery,P034,success
C0001,2026-08-10 15:08:00,product_view,P034,success
C0002,2026-08-03 23:42:00,product_discovery,P037,success
C0002,2026-08-03 23:43:00,product_view,P037,success
C0002,2026-08-03 23:52:00,cart_add,P037,success
C0002,2026-08-03 23:57:00,checkout_start,P037,success
C0002,2026-08-04 00:04:00,payment_attempt,P037,success
C0002,2026-08-04 00:07:00,payment_failure,P037,failed
C0003,2026-08-20 11:35:00,product_discovery,P019,success
C0003,2026-08-20 11:36:00,product_view,P019,success
C0004,2026-08-08 12:15:00,product_discovery,P007,success
C0004,2026-08-08 12:16:00,product_view,P007,success
C0005,2026-08-05 16:04:00,product_discovery,P013,success
C0005,2026-08-05 16:07:00,product_view,P013,success
C0006,2026-08-19 22:01:00,product_discovery,P028,success
C0006,2026-08-19 22:04:00,product_view,P028,success
C0006,2026-08-19 22:12:00,cart_add,P028,success
C0006,2026-08-19 22:22:00,checkout_start,P028,success
C0006,2026-08-19 22:25:00,payment_attempt,P028,success
C0006,2026-08-19 22:28:00,payment_success,P028,success
C0006,2026-08-19 22:31:00,order_confirmation,P028,success
C0007,2026-08-13 23:38:00,product_discovery,P035,success
C0007,2026-08-13 23:41:00,product_view,P035,success
C0008,2026-08-09 01:45:00,product_discovery,P008,success
C0008,2026-08-09 01:50:00,product_view,P008,success
C0008,2026-08-09 01:57:00,cart_add,P008,success
C0008,2026-08-09 02:08:00,checkout_start,P008,success
C0008,2026-08-09 02:10:00,payment_attempt,P008,success
C0008,2026-08-09 02:15:00,payment_success,P008,success
C0008,2026-08-09 02:18:00,order_confirmation,P008,success
C0009,2026-08-05 17:12:00,product_discovery,P004,success
C0009,2026-08-05 17:16:00,product_view,P004,success
C0009,2026-08-05 17:21:00,cart_add,P004,success
C0009,2026-08-05 17:30:00,checkout_start,P004,success
C0009,2026-08-05 17:36:00,payment_attempt,P004,success
C0009,2026-08-05 17:37:00,payment_success,P004,success
C0009,2026-08-05 17:39:00,order_confirmation,P004,success
C0010,2026-08-03 00:36:00,product_discovery,P029,success
C0010,2026-08-03 00:39:00,product_view,P029,success
C0011,2026-08-14 10:39:00,product_discovery,P009,success
C0011,2026-08-14 10:44:00,product_view,P009,success
C0012,2026-08-17 07:01:00,product_discovery,P015,success
C0012,2026-08-17 07:02:00,product_view,P015,success
C0012,2026-08-17 07:09:00,cart_add,P015,success
