customer_id,timestamp,event,product_id,status,channel,transaction_id,order_id
C0001,2026-08-15 21:12:00,product_discovery,P008,success,website,,
C0001,2026-08-15 21:15:00,product_view,P008,success,website,,
C0001,2026-08-15 21:18:00,cart_add,P008,success,website,,
C0001,2026-08-15 21:29:00,checkout_start,P008,success,website,,
C0001,2026-08-15 21:31:00,payment_attempt,P008,success,website,TXNC00011520,
C0001,2026-08-15 21:32:00,payment_success,P008,success,website,TXNC00011520,
C0001,2026-08-15 21:33:00,order_confirmation,P008,success,website,TXNC00011520,ORDC00011434
C0001,2026-08-22 23:33:00,delivery,P008,success,website,,ORDC00011434
C0001,2026-09-01 23:33:00,review,P008,success,website,,ORDC00011434
C0002,2026-08-07 15:55:00,product_discovery,P001,success,website,,
C0002,2026-08-07 15:59:00,product_view,P001,success,website,,
C0003,2026-08-18 16:58:00,product_discovery,P022,success,website,,
C0003,2026-08-18 16:59:00,product_view,P022,success,website,,
C0003,2026-08-18 17:05:00,cart_add,P022,success,website,,
C0004,2026-08-02 07:43:00,product_discovery,P030,success,website,,
C0005,2026-08-08 00:06:00,product_discovery,P040,success,mobile_app,,
C0005,2026-08-08 00:11:00,product_view,P040,success,mobile_app,,
C0006,2026-08-06 12:27:00,product_discovery,P019,success,website,,
C0006,2026-08-06 12:29:00,product_view,P019,success,website,,
C0007,2026-08-15 19:10:00,product_discovery,P024,success,website,,
C0007,2026-08-15 19:13:00,product_view,P024,success,website,,
C0007,2026-08-15 19:18:00,cart_add,P024,success,website,,
C0007,2026-08-15 19:29:00,checkout_start,P024,success,website,,
C0007,2026-08-15 19:32:00,payment_attempt,P024,success,website,TXNC00075010,
C0007,2026-08-15 19:34:00,payment_success,P024,success,website,TXNC00075010,
C0007,2026-08-15 19:36:00,order_confirmation,P024,success,website,TXNC00075010,ORDC00074598
C0007,2026-08-17 22:36:00,delivery,P024,success,website,,ORDC00074598
C0007,2026-08-23 22:36:00,review,P024,success,website,,ORDC00074598
C0008,2026-08-10 11:05:00,product_discovery,P018,success,website,,
C0008,2026-08-10 11:07:00,product_view,P018,success,website,,
C0008,2026-08-10 11:17:00,cart_add,P018,success,website,,
C0009,2026-08-12 16:38:00,product_discovery,P026,success,mobile_app,,
C0009,2026-08-12 16:40:00,product_view,P026,success,mobile_app,,
C0009,2026-08-12 16:44:00,cart_add,P026,success,mobile_app,,
