customer_id,timestamp,event,product_id,status,channel,transaction_id,order_id,purchase_reason,customer_satisfaction,delivery_satisfaction,abandonment_reason
C0001,2026-08-02 05:03:00,product_discovery,P019,success,website,,,,,,
C0001,2026-08-02 05:07:00,product_view,P019,success,website,,,,,,
C0002,2026-08-12 16:07:00,product_discovery,P039,success,website,,,,,,
C0002,2026-08-12 16:12:00,product_view,P039,success,website,,,,,,
C0002,2026-08-12 16:18:00,cart_add,P039,success,website,,,,,,
C0002,2026-08-12 16:27:00,checkout_start,P039,success,website,,,,,,
C0002,2026-08-12 16:34:00,payment_attempt,P039,success,website,TXNC00021945,,,,,
C0002,2026-08-12 16:35:00,payment_success,P039,success,website,TXNC00021945,,,,,
C0002,2026-08-12 16:37:00,order_confirmation,P039,success,website,TXNC00021945,ORDC00023631,,,,
C0002,2026-08-17 20:37:00,delivery,P039,success,website,,ORDC00023631,,,,
C0002,2026-08-17 20:37:00,purchase_reason_recorded,P039,info,website,TXNC00021945,ORDC00023631,Needed it urgently,3.0,5.0,
C0003,2026-08-02 18:41:00,product_discovery,P004,success,website,,,,,,
C0003,2026-08-02 18:43:00,product_view,P004,success,website,,,,,,
C0004,2026-08-03 02:04:00,product_discovery,P034,success,website,,,,,,
C0004,2026-08-03 02:09:00,product_view,P034,success,website,,,,,,
C0005,2026-08-15 12:06:00,product_discovery,P030,success,mobile_app,,,,,,
C0005,2026-08-15 12:09:00,product_view,P030,success,mobile_app,,,,,,
C0006,2026-08-20 15:19:00,product_discovery,P006,success,mobile_app,,,,,,
C0006,2026-08-20 15:20:00,product_view,P006,success,mobile_app,,,,,,
C0007,2026-08-05 13:35:00,product_discovery,P039,success,website,,,,,,
C0007,2026-08-05 13:40:00,product_view,P039,success,website,,,,,,
C0008,2026-08-19 01:30:00,product_discovery,P024,success,mobile_app,,,,,,
C0008,2026-08-19 01:31:00,product_view,P024,success,mobile_app,,,,,,
C0008,2026-08-19 01:38:00,cart_add,P024,success,mobile_app,,,,,,
C0008,2026-08-19 01:40:00,cart_add,P024,abandoned,mobile_app,,,,,,Technical issue at checkout
C0009,2026-08-03 07:05:00,product_discovery,P010,success,mobile_app,,,,,,
C0009,2026-08-03 07:06:00,product_view,P010,success,mobile_app,,,,,,
C0010,2026-08-02 04:44:00,product_discovery,P010,success,website,,,,,,
C0010,2026-08-02 04:45:00,product_view,P010,success,website,,,,,,
C0011,2026-08-01 17:18:00,product_discovery,P022,success,website,,,,,,
C0011,2026-08-01 17:23:00,product_view,P022,success,website,,,,,,
C0011,2026-08-01 17:31:00,cart_add,P022,success,website,,,,,,
C0011,2026-08-01 17:45:00,checkout_start,P022,success,website,,,,,,
C0011,2026-08-01 17:47:00,payment_attempt,P022,success,website,TXNC00112522,,,,,
C0011,2026-08-01 17:49:00,payment_success,P022,success,website,TXNC00112522,,,,,
C0011,2026-08-01 17:52:00,order_confirmation,P022,success,website,TXNC00112522,ORDC00117610,,,,
C0011,2026-08-06 20:52:00,delivery,P022,success,website,,ORDC00117610,,,,
C0011,2026-08-12 20:52:00,review,P022,success,website,,ORDC00117610,,,,
C0011,2026-08-12 20:52:00,purchase_reason_recorded,P022,info,website,TXNC00112522,ORDC00117610,Good price,3.0,3.0,
C0012,2026-08-19 03:45:00,product_discovery,P013,success,website,,,,,,
C0012,2026-08-19 03:47:00,product_view,P013,success,website,,,,,,
C0013,2026-08-19 00:07:00,product_discovery,P014,success,mobile_app,,,,,,
C0013,2026-08-19 00:11:00,product_view,P014,success,mobile_app,,,,,,
C0014,2026-08-03 12:25:00,product_discovery,P002,success,website,,,,,,
C0014,2026-08-03 12:30:00,product_view,P002,success,website,,,,,,
C0014,2026-08-03 12:39:00,cart_add,P002,success,website,,,,,,
C0014,2026-08-03 12:48:00,checkout_start,P002,success,website,,,,,,
C0014,2026-08-03 12:50:00,payment_attempt,P002,success,website,TXNC00145317,,,,,
C0014,2026-08-03 12:52:00,payment_success,P002,success,website,TXNC00145317,,,,,
C0014,2026-08-03 12:54:00,order_confirmation,P002,success,website,TXNC00145317,ORDC00141100,,,,
C0014,2026-08-05 13:54:00,delivery,P002,success,website,,ORDC00141100,,,,
C0014,2026-08-05 13:54:00,purchase_reason_recorded,P002,info,website,TXNC00145317,ORDC00141100,Product reviews,5.0,2.0,
C0015,2026-08-01 16:02:00,product_discovery,P012,success,mobile_app,,,,,,
C0015,2026-08-01 16:03:00,product_view,P012,success,mobile_app,,,,,,
C0016,2026-08-13 15:25:00,product_discovery,P037,success,website,,,,,,
C0016,2026-08-13 15:27:00,product_view,P037,success,website,,,,,,
C0017,2026-08-12 05:31:00,product_discovery,P018,success,website,,,,,,
C0017,2026-08-12 05:35:00,product_view,P018,success,website,,,,,,
C0018,2026-08-01 13:27:00,product_discovery,P014,success,mobile_app,,,,,,
C0018,2026-08-01 13:29:00,product_view,P014,success,mobile_app,,,,,,
C0019,2026-08-12 06:39:00,product_discovery,P029,success,mobile_app,,,,,,
C0019,2026-08-12 06:44:00,product_view,P029,success,mobile_app,,,,,,
C0019,2026-08-12 06:53:00,cart_add,P029,success,mobile_app,,,,,,
C0019,2026-08-12 07:05:00,cart_add,P029,abandoned,mobile_app,,,,,,Just browsing
C0020,2026-08-02 22:29:00,product_discovery,P014,success,website,,,,,,
C0020,2026-08-02 22:34:00,product_view,P014,success,website,,,,,,
C0020,2026-08-02 22:36:00,cart_add,P014,success,website,,,,,,
C0020,2026-08-02 22:47:00,checkout_start,P014,success,website,,,,,,
C0020,2026-08-02 22:51:00,payment_attempt,P014,success,website,TXNC00204234,,,,,
C0020,2026-08-02 22:56:00,payment_success,P014,success,website,TXNC00204234,,,,,
C0020,2026-08-02 22:59:00,order_confirmation,P014,success,website,TXNC00204234,ORDC00203783,,,,
C0020,2026-08-08 02:59:00,delivery,P014,success,website,,ORDC00203783,,,,
C0020,2026-08-16 02:59:00,review,P014,success,website,,ORDC00203783,,,,
C0020,2026-08-16 02:59:00,purchase_reason_recorded,P014,info,website,TXNC00204234,ORDC00203783,Trusted brand,5.0,3.0,
C0021,2026-08-03 22:30:00,product_discovery,P021,success,mobile_app,,,,,,
C0021,2026-08-03 22:33:00,product_view,P021,success,mobile_app,,,,,,
C0021,2026-08-03 22:40:00,cart_add,P021,success,mobile_app,,,,,,
C0021,2026-08-03 22:48:00,cart_add,P021,abandoned,mobile_app,,,,,,Changed my mind
C0022,2026-08-06 17:13:00,product_discovery,P030,success,website,,,,,,
C0022,2026-08-06 17:16:00,product_view,P030,success,website,,,,,,
C0023,2026-08-14 20:05:00,product_discovery,P019,success,website,,,,,,
C0023,2026-08-14 20:07:00,product_view,P019,success,website,,,,,,
C0023,2026-08-14 20:10:00,cart_add,P019,success,website,,,,,,
C0023,2026-08-14 20:14:00,cart_add,P019,abandoned,website,,,,,,Technical issue at checkout
C0024,2026-08-15 22:37:00,product_discovery,P038,success,website,,,,,,
C0024,2026-08-15 22:40:00,product_view,P038,success,website,,,,,,
C0024,2026-08-15 22:47:00,cart_add,P038,success,website,,,,,,
C0024,2026-08-15 22:50:00,checkout_start,P038,success,website,,,,,,
C0024,2026-08-15 22:52:00,payment_attempt,P038,success,website,TXNC00249444,,,,,
C0024,2026-08-15 22:55:00,payment_success,P038,success,website,TXNC00249444,,,,,
C0024,2026-08-15 22:57:00,order_confirmation,P038,success,website,TXNC00249444,ORDC00245175,,,,
C0024,2026-08-22 23:57:00,delivery,P038,success,website,,ORDC00245175,,,,
C0024,2026-09-01 23:57:00,review,P038,success,website,,ORDC00245175,,,,
C0024,2026-09-01 23:57:00,purchase_reason_recorded,P038,info,website,TXNC00249444,ORDC00245175,Product reviews,5.0,5.0,
C0025,2026-08-13 16:23:00,product_discovery,P007,success,website,,,,,,
C0025,2026-08-13 16:27:00,product_view,P007,success,website,,,,,,
C0026,2026-08-16 12:12:00,product_discovery,P014,success,mobile_app,,,,,,
C0026,2026-08-16 12:13:00,product_view,P014,success,mobile_app,,,,,,
C0027,2026-08-04 16:28:00,product_discovery,P012,success,mobile_app,,,,,,
C0028,2026-08-08 20:47:00,product_discovery,P003,success,website,,,,,,
C0028,2026-08-08 20:52:00,product_view,P003,success,website,,,,,,
C0029,2026-08-09 10:38:00,product_discovery,P014,success,mobile_app,,,,,,
C0029,2026-08-09 10:39:00,product_view,P014,success,mobile_app,,,,,,
C0030,2026-08-17 04:55:00,product_discovery,P006,success,website,,,,,,
C0030,2026-08-17 04:56:00,product_view,P006,success,website,,,,,,
C0031,2026-08-02 07:15:00,product_discovery,P026,success,website,,,,,,
C0032,2026-08-01 22:25:00,product_discovery,P005,success,website,,,,,,
C0032,2026-08-01 22:28:00,product_view,P005,success,website,,,,,,
C0033,2026-08-05 03:53:00,product_discovery,P021,success,mobile_app,,,,,,
C0033,2026-08-05 03:58:00,product_view,P021,success,mobile_app,,,,,,
C0033,2026-08-05 04:05:00,cart_add,P021,success,mobile_app,,,,,,
C0033,2026-08-05 04:13:00,cart_add,P021,abandoned,mobile_app,,,,,,Technical issue at checkout
C0034,2026-08-05 23:23:00,product_discovery,P029,success,mobile_app,,,,,,
C0034,2026-08-05 23:27:00,product_view,P029,success,mobile_app,,,,,,
C0034,2026-08-05 23:36:00,cart_add,P029,success,mobile_app,,,,,,
C0034,2026-08-05 23:39:00,cart_add,P029,abandoned,mobile_app,,,,,,Just browsing
C0035,2026-08-05 09:30:00,product_discovery,P008,success,website,,,,,,
C0036,2026-08-03 17:18:00,product_discovery,P008,success,website,,,,,,
C0036,2026-08-03 17:21:00,product_view,P008,success,website,,,,,,
C0036,2026-08-03 17:30:00,cart_add,P008,success,website,,,,,,
C0036,2026-08-03 17:37:00,cart_add,P008,abandoned,website,,,,,,Price too high
C0037,2026-08-06 20:03:00,product_discovery,P021,success,mobile_app,,,,,,
C0037,2026-08-06 20:04:00,product_view,P021,success,mobile_app,,,,,,
C0038,2026-08-13 05:37:00,product_discovery,P039,success,website,,,,,,
C0038,2026-08-13 05:38:00,product_view,P039,success,website,,,,,,
C0038,2026-08-13 05:39:00,cart_add,P039,success,website,,,,,,
C0038,2026-08-13 05:43:00,checkout_start,P039,success,website,,,,,,
C0038,2026-08-13 05:45:00,payment_attempt,P039,success,website,TXNC00388051,,,,,
C0038,2026-08-13 05:50:00,payment_success,P039,success,website,TXNC00388051,,,,,
C0038,2026-08-13 05:52:00,order_confirmation,P039,success,website,TXNC00388051,ORDC00386255,,,,
